outlet_id,source,tier,country,source_type,review_decision,rss_parsed,sitemap_parsed,rss_24h,sitemap_24h,total_24h,rss_unique_24h,sitemap_unique_24h,unique_24h,dedupe_rate,rss_url,sitemap_url,errors
bing-metro-milwaukee,Bing Metro: Milwaukee,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Milwaukee%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-minneapolis,Bing Metro: Minneapolis,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Minneapolis%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-nashville,Bing Metro: Nashville,2,US,portal,keep_secondary,3,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Nashville%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-oklahoma-city,Bing Metro: Oklahoma City,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Oklahoma%20City%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-omaha,Bing Metro: Omaha,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Omaha%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-philadelphia,Bing Metro: Philadelphia,2,US,portal,keep_secondary,6,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Philadelphia%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-phoenix,Bing Metro: Phoenix,2,US,portal,keep_secondary,5,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Phoenix%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-portland,Bing Metro: Portland,2,US,portal,keep_secondary,7,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Portland%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-raleigh,Bing Metro: Raleigh,2,US,portal,keep_secondary,2,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=Raleigh%20technology%20startups%20ai&format=RSS&setlang=en-us,,
bing-metro-san-antonio,Bing Metro: San Antonio,2,US,portal,keep_secondary,4,0,0,0,0,0,0,0,0.0000,https://www.bing.com/news/search?q=San%20Antonio%20technology%20startups%20ai&format=RSS&setlang=en-us,,
